Red Player wins: 0 | Yellow Player Wins: 1 | Round Count: 1
Red Player wins: 0 | Yellow Player Wins: 2 | Round Count: 2
Red Player wins: 1 | Yellow Player Wins: 2 | Round Count: 3
Red Player wins: 1 | Yellow Player Wins: 3 | Round Count: 4
Red Player wins: 1 | Yellow Player Wins: 4 | Round Count: 5
Red Player wins: 1 | Yellow Player Wins: 5 | Round Count: 6
Red Player wins: 1 | Yellow Player Wins: 6 | Round Count: 7
Red Player wins: 1 | Yellow Player Wins: 7 | Round Count: 8
Red Player wins: 1 | Yellow Player Wins: 8 | Round Count: 9
Red Player wins: 1 | Yellow Player Wins: 9 | Round Count: 10
Red Player wins: 1 | Yellow Player Wins: 10 | Round Count: 11
Red Player wins: 1 | Yellow Player Wins: 11 | Round Count: 12
Red Player wins: 1 | Yellow Player Wins: 12 | Round Count: 13
Red Player wins: 1 | Yellow Player Wins: 13 | Round Count: 14
Red Player wins: 1 | Yellow Player Wins: 14 | Round Count: 15
Red Player wins: 1 | Yellow Player Wins: 15 | Round Count: 16
Red Player wins: 2 | Yellow Player Wins: 15 | Round Count: 17
Red Player wins: 2 | Yellow Player Wins: 16 | Round Count: 18
Red Player wins: 2 | Yellow Player Wins: 17 | Round Count: 19
Red Player wins: 2 | Yellow Player Wins: 18 | Round Count: 20
Red Player wins: 2 | Yellow Player Wins: 19 | Round Count: 21
Red Player wins: 2 | Yellow Player Wins: 20 | Round Count: 22
Red Player wins: 3 | Yellow Player Wins: 20 | Round Count: 23
Red Player wins: 3 | Yellow Player Wins: 21 | Round Count: 24
Red Player wins: 4 | Yellow Player Wins: 21 | Round Count: 25
Red Player wins: 4 | Yellow Player Wins: 22 | Round Count: 26
Red Player wins: 4 | Yellow Player Wins: 23 | Round Count: 27
Red Player wins: 4 | Yellow Player Wins: 24 | Round Count: 28
Red Player wins: 5 | Yellow Player Wins: 24 | Round Count: 29
Red Player wins: 5 | Yellow Player Wins: 25 | Round Count: 30
Red Player wins: 6 | Yellow Player Wins: 25 | Round Count: 31
Red Player wins: 6 | Yellow Player Wins: 26 | Round Count: 32
Red Player wins: 6 | Yellow Player Wins: 27 | Round Count: 33
Red Player wins: 7 | Yellow Player Wins: 27 | Round Count: 34
Red Player wins: 7 | Yellow Player Wins: 28 | Round Count: 35
Red Player wins: 8 | Yellow Player Wins: 28 | Round Count: 36
Red Player wins: 8 | Yellow Player Wins: 29 | Round Count: 37
Red Player wins: 9 | Yellow Player Wins: 29 | Round Count: 38
Red Player wins: 9 | Yellow Player Wins: 30 | Round Count: 39
Red Player wins: 9 | Yellow Player Wins: 31 | Round Count: 40
Red Player wins: 10 | Yellow Player Wins: 31 | Round Count: 41
Red Player wins: 10 | Yellow Player Wins: 32 | Round Count: 42
Red Player wins: 10 | Yellow Player Wins: 33 | Round Count: 43
Red Player wins: 10 | Yellow Player Wins: 34 | Round Count: 44
Red Player wins: 10 | Yellow Player Wins: 35 | Round Count: 45
Red Player wins: 10 | Yellow Player Wins: 36 | Round Count: 46
Red Player wins: 10 | Yellow Player Wins: 37 | Round Count: 47
Red Player wins: 11 | Yellow Player Wins: 37 | Round Count: 48
Red Player wins: 11 | Yellow Player Wins: 38 | Round Count: 49
Red Player wins: 11 | Yellow Player Wins: 39 | Round Count: 50
Red Player wins: 11 | Yellow Player Wins: 40 | Round Count: 51
Red Player wins: 11 | Yellow Player Wins: 41 | Round Count: 52
Red Player wins: 11 | Yellow Player Wins: 42 | Round Count: 53
Red Player wins: 12 | Yellow Player Wins: 42 | Round Count: 54
Red Player wins: 12 | Yellow Player Wins: 43 | Round Count: 55
Red Player wins: 12 | Yellow Player Wins: 44 | Round Count: 56
Red Player wins: 13 | Yellow Player Wins: 44 | Round Count: 57
Red Player wins: 14 | Yellow Player Wins: 44 | Round Count: 58
Red Player wins: 14 | Yellow Player Wins: 45 | Round Count: 59
Red Player wins: 14 | Yellow Player Wins: 46 | Round Count: 60
Red Player wins: 14 | Yellow Player Wins: 47 | Round Count: 61
Red Player wins: 14 | Yellow Player Wins: 48 | Round Count: 62
Red Player wins: 15 | Yellow Player Wins: 48 | Round Count: 63
Red Player wins: 15 | Yellow Player Wins: 49 | Round Count: 64
Red Player wins: 15 | Yellow Player Wins: 50 | Round Count: 65
Red Player wins: 15 | Yellow Player Wins: 51 | Round Count: 66
Red Player wins: 15 | Yellow Player Wins: 52 | Round Count: 67
Red Player wins: 15 | Yellow Player Wins: 53 | Round Count: 68
Red Player wins: 15 | Yellow Player Wins: 54 | Round Count: 69
Red Player wins: 15 | Yellow Player Wins: 55 | Round Count: 70
Red Player wins: 15 | Yellow Player Wins: 56 | Round Count: 71
Red Player wins: 15 | Yellow Player Wins: 57 | Round Count: 72
Red Player wins: 15 | Yellow Player Wins: 58 | Round Count: 73
Red Player wins: 15 | Yellow Player Wins: 59 | Round Count: 74
Red Player wins: 15 | Yellow Player Wins: 60 | Round Count: 75
Red Player wins: 15 | Yellow Player Wins: 61 | Round Count: 76
Red Player wins: 15 | Yellow Player Wins: 62 | Round Count: 77
Red Player wins: 16 | Yellow Player Wins: 62 | Round Count: 78
Red Player wins: 16 | Yellow Player Wins: 63 | Round Count: 79
Red Player wins: 16 | Yellow Player Wins: 64 | Round Count: 80
Red Player wins: 16 | Yellow Player Wins: 65 | Round Count: 81
Red Player wins: 16 | Yellow Player Wins: 66 | Round Count: 82
Red Player wins: 16 | Yellow Player Wins: 67 | Round Count: 83
Red Player wins: 16 | Yellow Player Wins: 68 | Round Count: 84
Red Player wins: 17 | Yellow Player Wins: 68 | Round Count: 85
Red Player wins: 17 | Yellow Player Wins: 69 | Round Count: 86
Red Player wins: 17 | Yellow Player Wins: 70 | Round Count: 87
Red Player wins: 17 | Yellow Player Wins: 71 | Round Count: 88
Red Player wins: 17 | Yellow Player Wins: 72 | Round Count: 89
Red Player wins: 17 | Yellow Player Wins: 73 | Round Count: 90
Red Player wins: 17 | Yellow Player Wins: 74 | Round Count: 91
Red Player wins: 17 | Yellow Player Wins: 75 | Round Count: 92
Red Player wins: 17 | Yellow Player Wins: 76 | Round Count: 93
Red Player wins: 17 | Yellow Player Wins: 77 | Round Count: 94
Red Player wins: 17 | Yellow Player Wins: 78 | Round Count: 95
Red Player wins: 17 | Yellow Player Wins: 79 | Round Count: 96
Red Player wins: 17 | Yellow Player Wins: 80 | Round Count: 97
Red Player wins: 17 | Yellow Player Wins: 81 | Round Count: 98
Red Player wins: 17 | Yellow Player Wins: 82 | Round Count: 99
Red Player wins: 18 | Yellow Player Wins: 82 | Round Count: 100
Red Player wins: 18 | Yellow Player Wins: 83 | Round Count: 101
Red Player wins: 18 | Yellow Player Wins: 84 | Round Count: 102
Red Player wins: 18 | Yellow Player Wins: 85 | Round Count: 103
Red Player wins: 18 | Yellow Player Wins: 86 | Round Count: 104
Red Player wins: 18 | Yellow Player Wins: 87 | Round Count: 105
Red Player wins: 18 | Yellow Player Wins: 88 | Round Count: 106
Red Player wins: 18 | Yellow Player Wins: 89 | Round Count: 107
Red Player wins: 19 | Yellow Player Wins: 89 | Round Count: 108
Red Player wins: 19 | Yellow Player Wins: 90 | Round Count: 109
Red Player wins: 19 | Yellow Player Wins: 91 | Round Count: 110
Red Player wins: 19 | Yellow Player Wins: 92 | Round Count: 111
Red Player wins: 19 | Yellow Player Wins: 93 | Round Count: 112
Red Player wins: 19 | Yellow Player Wins: 94 | Round Count: 113
Red Player wins: 19 | Yellow Player Wins: 95 | Round Count: 114
Red Player wins: 19 | Yellow Player Wins: 96 | Round Count: 115
Red Player wins: 19 | Yellow Player Wins: 97 | Round Count: 116
Red Player wins: 19 | Yellow Player Wins: 98 | Round Count: 117
Red Player wins: 19 | Yellow Player Wins: 99 | Round Count: 118
Red Player wins: 20 | Yellow Player Wins: 99 | Round Count: 119
Red Player wins: 20 | Yellow Player Wins: 100 | Round Count: 120
Red Player wins: 20 | Yellow Player Wins: 101 | Round Count: 121
Red Player wins: 20 | Yellow Player Wins: 102 | Round Count: 122
